date,num_rrsig,num_httpsrr,rrsig_perc
2024-01-27,13170,128108,10.280388422268711
2024-01-28,13181,128096,10.289938795903073
2024-01-29,13187,128100,10.294301327088212
2024-01-30,13195,128099,10.300626858913809
2024-01-31,13211,128089,10.313922350865415
2024-02-01,13209,128082,10.312924532721226
2024-02-02,13222,128096,10.321946040469648
2024-02-03,13233,128095,10.330613997423788
2024-02-04,13235,128090,10.332578655632759
2024-02-05,13237,128089,10.334220737143704
2024-02-06,13254,128131,10.344100959174595
2024-02-07,13252,128121,10.343347304501213
2024-02-08,13269,128140,10.355080380833463
2024-02-09,13288,128123,10.371283844430742
2024-02-10,13295,128104,10.37828639230625
2024-02-11,13292,128051,10.38023912347424
2024-02-12,13292,128041,10.381049819979538
2024-02-13,13296,128061,10.382552065031508
2024-02-14,13306,127984,10.396612076509564
2024-02-15,13314,127870,10.412137326972706
2024-02-16,13323,127774,10.427003928811809
2024-02-17,13336,127717,10.441836247328077
2024-02-18,13344,127663,10.452519524059438
2024-02-19,13342,127604,10.455785085107049
2024-02-20,13347,127510,10.467414320445455
2024-02-21,13347,127408,10.475794298631168
2024-02-22,13346,127391,10.476407281519103
2024-02-23,13368,127303,10.500930850019245
2024-02-24,13362,127105,10.512568349002793
2024-02-25,13368,127113,10.516626938236058
2024-02-26,13371,127106,10.519566346199236
2024-02-27,13386,127100,10.531864673485444
2024-02-28,13398,127016,10.548277382377023
2024-02-29,13404,127013,10.553250454677867
2024-03-01,13411,126757,10.580086306870626
2024-03-02,13410,126711,10.583138006960722
2024-03-03,13421,126611,10.60018481806478
2024-03-04,13430,126527,10.61433528021687
2024-03-05,13439,126524,10.621700230786255
2024-03-06,13439,126524,10.621700230786255
2024-03-07,13458,126477,10.640669845110178
2024-03-08,13467,126415,10.653007950005932
2024-03-09,13471,126353,10.661400995623373
2024-03-10,13474,126333,10.665463497265165
2024-03-11,13490,126299,10.681003016650964
2024-03-12,13488,126265,10.68229517285075
2024-03-13,13493,126273,10.68557807290553
2024-03-14,13490,126132,10.695144768972188
2024-03-15,13495,126106,10.701314766942096
2024-03-16,13513,126100,10.716098334655035
2024-03-17,13508,125847,10.733668661152034
2024-03-18,13506,125738,10.74138287550303
2024-03-19,13514,125771,10.744925300745004
2024-03-20,13514,125736,10.74791626900808
2024-03-21,13519,125727,10.752662514813842
2024-03-22,13530,125711,10.762781299965795
2024-03-23,13530,125620,10.770577933450088
2024-03-24,13538,125574,10.780894134136048
2024-03-25,13538,125512,10.786219644336796
2024-03-26,13547,125453,10.798466357918901
2024-03-27,13549,125384,10.806003955847636
2024-03-28,13558,125428,10.809388653251268
2024-03-29,13561,125418,10.812642523401745
2024-03-30,13568,125295,10.828843928329142
2024-03-31,13567,125192,10.836954437983257
