date,num_adbit,num_httpsrr,adbit_perc
2024-01-19,18332,265008,6.917527018052286
2024-01-20,18347,265193,6.91835757354078
2024-01-21,18365,265643,6.913413867483803
2024-01-22,18342,261086,7.025271366522908
2024-01-23,18348,261755,7.009608221428435
2024-01-24,18356,262287,6.998440639452203
2024-01-25,18370,262895,6.987580593012419
2024-01-26,18279,263430,6.938845234028015
2024-01-27,18279,249688,7.320736278876037
2024-01-28,18274,250241,7.302560331840106
2024-01-29,18265,250749,7.2841766068857705
2024-01-30,18267,251052,7.27618182687252
2024-01-31,18301,251456,7.278012853143293
2024-02-01,18303,251454,7.278866114677038
2024-02-02,18326,251350,7.291028446389497
2024-02-03,18328,250979,7.302603006626052
2024-02-04,18247,254306,7.175214112132628
2024-02-05,18268,254161,7.187570083529732
2024-02-06,18276,253640,7.205488093360668
2024-02-07,18293,253233,7.223782050522641
2024-02-08,18308,253144,7.232247258477388
2024-02-09,18324,253234,7.2359951665258215
2024-02-10,18337,253127,7.244189675538366
2024-02-11,18343,252742,7.257598657919934
2024-02-12,18350,253276,7.245060724269177
2024-02-13,18359,252881,7.259936491867716
2024-02-14,18371,253027,7.260489987234564
2024-02-15,18362,253194,7.2521465753532866
2024-02-16,18365,252946,7.260442940390439
2024-02-17,18381,252957,7.266452401000961
2024-02-18,18496,248882,7.4316342684485015
2024-02-19,18518,249259,7.429220208698583
2024-02-20,18541,249283,7.437731413694475
2024-02-21,18569,249521,7.441858601079669
2024-02-22,18623,249506,7.463948762755204
2024-02-23,18601,250051,7.438882467976533
2024-02-24,18618,250302,7.438214636718843
2024-02-25,18638,251651,7.4062888683136565
2024-02-26,18660,251423,7.421755368442823
2024-02-27,18647,252664,7.380157046512364
2024-02-28,18692,254219,7.352715572006813
2024-02-29,18746,254626,7.3621703989380505
2024-03-01,18790,254433,7.385048323134185
2024-03-02,18814,255582,7.361238271865781
2024-03-03,18795,256657,7.323003074141753
2024-03-04,18807,257979,7.29012826625423
2024-03-05,18808,257140,7.3143034922610255
2024-03-06,18808,257140,7.3143034922610255
2024-03-07,18833,259412,7.25988003638999
2024-03-08,18850,260375,7.239558329332693
2024-03-09,18778,263214,7.134119005827958
2024-03-10,18759,263894,7.1085360030921505
2024-03-11,18758,264097,7.102693328587602
2024-03-12,18724,264472,7.079766478114886
2024-03-13,18718,264181,7.085293794784636
2024-03-14,18729,263770,7.100504227167608
2024-03-15,18708,263537,7.098813449344874
2024-03-16,18716,263064,7.11461849587933
